Sentiment,SentimentText
positive,via @FoxNewsPolitics Trump tackles the NFL and national anthem: A timeline https://t.co/VLFJOWnegativetLg https://t.co/PGtXCdkB7l'
positive,"""@BFT_Podcast Facts are Facts.\nS Korea has been waiting for USA to hire a 'real' man to do the job they can trust in\xe2\x8negative\xa6 https://t.co/qnegativeDTcGfZ3K"""
positive,"""@foxnewspolitics One quarter doesn't make it a boom. We hit 5% back in 2negativepositive4. Let's see if this is sustainable before we start all the kudos."""
positive,"""@foxnewspolitics @SnowMonsterMAGA Every single one of us needs to be tweeting about President Trump's 4.positive% GDP. \n\nT\xe2\x8negative\xa6 https://t.co/VAnSLSojIN"""
negative,@foxnewspolitics Great things happen when we elect a smart hard working businessman who appoints and surrounds hims\xe2\x8negative\xa6 https://t.co/sP7AFDavS4'
positive,@foxnewspolitics strong 4.positive% growth under Trump in Q2 of 2negativepositive8 would rank as 5th strongest Q of Obama presidency\n\n\xe2\x8negative\x945\xe2\x8negative\xa6 https://t.co/3WmP7l78uQ'
positive,KevinGutzman @foxnewspolitics Really? Do you have data to support that? Seems like the entire stupid MAGA thing is all about positive958....'
positive,@foxnewspolitics aka the 5th strongest quarter during the Obama years'
negative,"""@foxnewspolitics Great, it's due to deregulation and opening our nation parks for fracking. How are all you trumpbi\xe2\x8negative\xa6 https://t.co/vRGZ3iMpositiveNW"""
positive,POTUS can\xe2\x8negative\x99t catch a break (GDP report)!  Media  can\xe2\x8negative\x99t resist \xe2\x8negative\x9cPick a little.  Talk a little. Pick a little. Talk a\xe2\x8negative\xa6 https://t.co/QbgK6QflPx'
positive,"@KevinGutzman @foxnewspolitics This will be revised down. As well, what are the numbers regarding growth of real wa\xe2\x8negative\xa6 https://t.co/2Px66KHUdz'"
positive,@foxnewspolitics get this hacking liar off your payroll or your ratings will decline and while you\xe2\x8negative\x99re at it Juan W.\xe2\x8negative\xa6 https://t.co/negativegdTZCwInU'
positive,"@jgregorymartin @foxnewspolitics The trend was eight years of growth &lt; 3%, with no end in sight.'"
positive,@foxnewspolitics Good grief. The amount of knowledge this man has can be seen in the bottom of a thimble. #moronomics'
negative,"""@foxnewspolitics The gov't is borrowing at a record pace, which artificially inflates everything. Yet real wages we\xe2\x8negative\xa6 https://t.co/AUrdUlIBuN"""
negative,"@foxnewspolitics Turnaround? It\xe2\x8negative\x99s called continuing a trend. As well, GDP and real wages are not the same thing. Econ positivenegativepositive.'"
positive,@foxnewspolitics This is pure propaganda. The upward swing of the economy is a continuation of the amazing turnarou\xe2\x8negative\xa6 https://t.co/zYkLiXBnegativeTt'
negative,"""via @FoxNewsPolitics GDP report shows booming 4.positive percent growth, as Trump touts 'amazing' numbers\xe2\x8negative\xa6 https://t.co/vapOmXxnA2"""
negative,"@foxnewspolitics Truly amazing how reps took the democrat economy, added $positive.5 Trillion to the debt, and now tout nu\xe2\x8negative\xa6 https://t.co/ApIMsjvXCD'"
negative,@foxnewspolitics This is really an amazing result in a very short time. Trump getting it done!!'
positive,"Yes watch the entire 6 minutes! Thank God for him, a voice with integrity on Fox News! @foxnewspolitics\xe2\x8negative\xa6 https://t.co/3cGcU6positivegOq'"
positive,"@realNick_RPh .@foxnewspolitics Yes, hun.  Research what President Obama inherited from Bush.  Then look at the head start that *trump had.'"
negative,@foxnewspolitics @brookefoxnews The left must be torn. They have to go from calling Cohen a lying POS to now he has to be believable.'
negative,@realDonaldTrump @foxnewspolitics \n\nWe don\xe2\x8negative\x99t watch State Propaganda TV -FAUX NEWS\n\nAs long as you continue to attac\xe2\x8negative\xa6 https://t.co/gf7BpositiveuSQ7z'
positive,"@JayWedel @foxnewspolitics ""Second-quarter economic growth came in at an annual rate of 4.positive%, the government report\xe2\x8negative\xa6 https://t.co/OdHH4VPDk9'"
positive,@foxnewspolitics @brookefoxnews Me and my house will believe Trump.'
negative,@realNick_RPh @foxnewspolitics Lol I seem to remember the Dow tripling under Obama and it was fake. 77 months of jo\xe2\x8negative\xa6 https://t.co/oVXRypositivepz6F'
negative,This is a beautiful thing; even \xe2\x8positive\xa6@foxnewspolitics\xe2\x8positive\xa9 acknowledges the #BlueWaveComing2negativepositive8 #BlueWave #BlueWaveIsComing\xe2\x8negative\xa6 https://t.co/XpositivestZw6FDg'
negative,@foxnewspolitics @brookefoxnews Bet we can guess Mr Cohen will not be getting a presidential pardon. Cohen knows be\xe2\x8negative\xa6 https://t.co/PX3M26NlTT'
positive,@foxnewspolitics That is because companies stocked up before the idiotic trade war started. If you take credit for\xe2\x8negative\xa6 https://t.co/hr7fH7IVl7'
negative,@foxnewspolitics @ChadPergram @JuddBerger Mr Ryan has not proven to have been a strong conservative leader. Obvious\xe2\x8negative\xa6 https://t.co/fyBEyv7Nqk'
positive,"@foxnewspolitics You, #PutinsWhore have nothing to do with this economic growth !!!'"
negative,"""@foxnewspolitics @brookefoxnews there's another tape of the #LiarInChief coming soon! https://t.co/nqUFlvUtng"""
positive,"@aharonmlpositive23 @foxnewspolitics You know, the people who cant give trump credit for anything.'"
negative,"""via @FoxNewsPolitics GDP report shows booming 4.positive percent growth, as Trump touts 'terrific' numbers\xe2\x8negative\xa6 https://t.co/DuMqm5whyz"""
positive,"A ""great moment"" @realDonaldTrump?  Seriously?  No one I know who has ever received the remains of a family member\xe2\x8negative\xa6 https://t.co/pD28iBlyjQ'"
positive,@foxnewspolitics Thank-you #PresidentTrump &amp; family for volunteering to #MAGA &amp; doing it better than any D.C politi\xe2\x8negative\xa6 https://t.co/9SEG9IYYvu'
negative,@foxnewspolitics Will @realDonaldTrump be game enough to do a press conference and tell everyone about it? \xfnegative\x9f\x98\x82'
negative,@foxnewspolitics @brookefoxnews Remembering Cohen\xe2\x8negative\x99s tweet praising transparency! This entire Cohen story is an unde\xe2\x8negative\xa6 https://t.co/RPtzlx63mf'
negative,@foxnewspolitics @brookefoxnews You know justice has been served when these two crooks are sharing a prison cell al\xe2\x8negative\xa6 https://t.co/tLIdIF9ySr'
negative,@foxnewspolitics That is a fantastic scenario.'
negative,"@foxnewspolitics @brookefoxnews Wait, I thought Junior was only meeting with Russian operatives about \xe2\x8negative\x9cadoptions\xe2\x8negative\x9d. Could you please clarify?'"
positive,"@foxnewspolitics @HowardKurtz When every effort fails to make this agency comply with the Congressional request, wh\xe2\x8negative\xa6 https://t.co/IZaPZaEJHY'"
positive,@foxnewspolitics @brookefoxnews Not ONE #MAGA minion can even at least recognize what a shit show all these people\xe2\x8negative\xa6 https://t.co/ipnJI4SazX'
positive,@foxnewspolitics @brookefoxnews Both Cohen and Trump are pathological liars. It has becoming public relations media\xe2\x8negative\xa6 https://t.co/tQNdpositiveUlu5F'
negative,@foxnewspolitics @brookefoxnews What was always confusing to me is if this 2negativepositive5 meeting was \xe2\x8negative\x9ca big nothing\xe2\x8negative\x9d then wh\xe2\x8negative\xa6 https://t.co/UZOx7V5zWA'
negative,"via @FoxNewsPolitics Trump fires broadside at Michael Cohen, denies claim on meeting with Russian lawyer\xe2\x8negative\xa6 https://t.co/eeauHzB6KR'"
positive,"@foxnewspolitics @brookefoxnews positive. Auto tape recordings can be sliced together, there are programs on the Net that\xe2\x8negative\xa6 https://t.co/3negativeJUYVuecC'"
negative,@AnkitLal @Brd888positive @thewire_in Excellent detail thank u for sharing @rkarnad.Something 2 understand @htTweets\xe2\x8negative\xa6 https://t.co/nGnegativecKLVMWA'
negative,@realDonaldTrump LOL From the LIAR-IN-CHIEF who denied knowing McDougal but is on tape discussing hush money for he\xe2\x8negative\xa6 https://t.co/TavuZtPPsD'
positive,EdKrassen .@realDonaldTrump You are a disgusting human being! Those who continue to support you are disgusting as\xe2\x8negative\xa6 https://t.co/Lpositive2PCgGMp9'
negative,.@CNN @cnni @CNNPolitics is releasing this big story to distract from the big economic news coming out today.  Did\xe2\x8negative\xa6 https://t.co/vFnegative4moAJPt'
negative,@foxnewspolitics @HowardKurtz You obviously do not understand the term oversight. #checks&amp;balances'
negative,"@foxnewspolitics @HowardKurtz what happen to constitution get rid of rosenstein , sessions wake up'"
negative,@foxnewspolitics @HowardKurtz That\xe2\x8negative\x99s putting it mildly! It was so bad until supposed supporters didn\xe2\x8negative\x99t sign the document.\xfnegative\x9f\x98\xbpositive'
negative,@foxnewspolitics @HowardKurtz Rosenstein must be brought to justice !!'
negative,@foxnewspolitics As the Left Stream media has done for years its time for Fox News to take a real stand and choose\xe2\x8negative\xa6 https://t.co/v36Kvsnegativehan'
positive,@FedericiSkip @hwagz77 @foxnewspolitics @AlexPappas @ChadPergram It seems to be a much stronger case than you claim\xe2\x8negative\xa6 https://t.co/fEJMh5Gy7q'
positive,"""via @FoxNewsPolitics Sessions says 'Lock her up!' chant was 'perhaps' a missed opportunity to teach students about\xe2\x8negative\xa6 https://t.co/XTgKdKHDRK"""
negative,"""via @FoxNewsPolitics Pelosi describes 9/positivepositive attacks as 'incident,' suggests GOP weaker on border than Democrats\xe2\x8negative\xa6 https://t.co/Y527positiveupositiveXq3"""
positive,@foxnewspolitics No stories about Agent Orange knowing of Russian meeting?  I just checked 5 Fox News pages and NO\xe2\x8negative\xa6 https://t.co/DLUufMtf3N'
negative,Good to see @foxnewspolitics @foxnews @foxandfriends is covering the most important political story tonight: \xfnegative\x9f\x9positive\x87\xfnegative\x9f\x8f\xbc https://t.co/positivenegativenegativepositiveJf6nOY'
positive,"""@foxnewspolitics @HowardKurtz A privileged conversation taped by the attorney about something that didn't end up ha\xe2\x8negative\xa6 https://t.co/MKeAmGmtrm"""
positive,@foxnewspolitics @AntiDuper @brookefoxnews @MichaelCohen2positive2 you responded to one of my tweets last year and that fe\xe2\x8negative\xa6 https://t.co/JkXWuMxnrC'
positive,@seeaston @foxnewspolitics @brookefoxnews And privilege dors not apply when the attorney is conspiring with his client to break the law.'
negative,"""Guess what @foxnewspolitics isn't talking about right now?"""
negative,@foxnewspolitics @foxnews Nothing like Mueller wasting tax dollars to read @realDonaldTrump tweets enough is enough already get rid of him!'
negative,@RittNancy @foxnewspolitics @AndrewOReilly84 Better then our tax dollars going to a terrorist regime that used the\xe2\x8negative\xa6 https://t.co/kMAacA9p8N'
positive,@realDailyWire @conservmillen @michaeljknowles Lets start making tapes about Trump and alter everything he says to\xe2\x8negative\xa6 https://t.co/5OfwNUhyds'
positive,@GOP @realDonaldTrump What about the stuff @POTUS and his family sell. It\xe2\x8negative\x99s been reported even his MAGA caps are ma\xe2\x8negative\xa6 https://t.co/positiveDnxgXNIJ7'
negative,Inquiring minds want to know!!  Would be a great story for @FoxNews @foxandfriends @foxnewspolitics https://t.co/4ZP97bgNenegative'
positive,@TracySm828positive6749 @mlwilson777 @thecjpearson @GOP @foxnewspolitics How many children do you have Tracy? Can you resp\xe2\x8negative\xa6 https://t.co/sf2UqjbwnegativeP'
negative,"@mlwilson777 @thecjpearson @positiveAltruisticBS Not a socialite, Dont watch CNN, who mentioned globalism. Trust me, the l\xe2\x8negative\xa6 https://t.co/lKqZy8MgwL'"
positive,@foxnewspolitics @ChadPergram @JuddBerger So you delay Congress and thats OK no action will be taken.....we have to drain the swamp.'
positive,via @FoxNewsPolitics Hundreds of kids still separated from parents as clock ticks down; officials expect to meet de\xe2\x8negative\xa6 https://t.co/iPYnwq4mxg'
positive,via @FoxNewsPolitics Hundreds of kids still separate from parents as clock ticks down; officials expect to meet dea\xe2\x8negative\xa6 https://t.co/BYMKnxCsG4'
negative,@foxnewspolitics @JuddBerger Call Marky Zuck for a heart to heart . Invite the FBI and do it under oath.'
positive,"NAZI Newt probably believes, like Trump, in a policy of tearing children away from their parents for a misdemeanor.\xe2\x8negative\xa6 https://t.co/TZoTOlzaGF'"
negative,@clnealepositive @foxnewspolitics @HowardKurtz Habla usted ingles? WTF are you talking about?'
negative,@foxnewspolitics @brookefoxnews And trump what consequences will he face?  Is he a victim again?'
positive,@srl @jplaupositive How sad we need legislation for something that should go without saying.\nThx @foxnewspolitics\xe2\x8negative\xa6 https://t.co/ZlhSXTZL8E'
positive,"@foxnewspolitics I\xe2\x8negative\x99ve been watching the 6:negativenegative news of Fox, or is it CNN?'"
negative,via @FoxNewsPolitics Russian lawyer in Trump Tower meeting tied to top Kremlin officials https://t.co/M7cDRLLBpO https://t.co/fpnbnegativenegativewcUz'
negative,@MichelleLavoie @mog7546 @foxnewspolitics did you take the DAMN green pill.....Neo.....????  LOL'
positive,"@BretBaier @foxnewspolitics So now you support the rude, inappropriate, unprofessional behavior of a @CNNPolitics h\xe2\x8negative\xa6 https://t.co/r2iZG8dF8p'"
positive,"via @FoxNewsPolitics Fusion GPS ordered to give deposition in civil suit against BuzzFeed, Christopher Steele\xe2\x8negative\xa6 https://t.co/2xp7bvzql6'"
positive,"""@foxnewspolitics @brookefoxnews What future clients? Who's going to hire him now. What a slimeball."""
negative,Did Pompeo take an oath to serve Trump or serve America? Pompeo does know they are not one and the same? @SecPompeo\xe2\x8negative\xa6 https://t.co/cZywbVqlgN'
positive,@foxnewspolitics @realDonaldTrump @PressSec @GOP  Fox and Donny believe they are wining the trade war wow we are ta\xe2\x8negative\xa6 https://t.co/kxb7y76jq6'
positive,@foxnewspolitics @brookefoxnews He should have a difficult road.... he betrayed a client.'
positive,@jerrysaltz @foxnewspolitics @NBCNews Im white as the driven snow and my first job was picking cotton in the deep s\xe2\x8negative\xa6 https://t.co/ULC3h3ECk6'
negative,@foxnewspolitics Does anybody really want this woman as president our country are you kidding raise taxes she\xe2\x8negative\x99s out\xe2\x8negative\xa6 https://t.co/zR7WnegativeNStN'
positive,"@jerrysaltz @foxnewspolitics @NBCNews Still dont know your public stance on those issues, btw. Any little skeletons in your closet fam?'"
positive,"""via @FoxNewsPolitics Trump predicts 'terrific' GDP growth in Granite City speech, claims US 'winning' the trade war\xe2\x8negative\xa6 https://t.co/gcXQN46ZK4"""
negative,"""@scarygermanguys @foxnewspolitics @NBCNews Oh shit. You're a bot with one-follower. Never mind you would understand any of this. #SicFuk"""
positive,@scarygermanguys @foxnewspolitics @NBCNews Of@it is even possible to ask a question like this all those things are\xe2\x8negative\xa6 https://t.co/Fokga4cL4a'
negative,@Thunder_Drummin @foxnewspolitics @brookefoxnews You mean like the freedom to peacefully protest?'
negative,"@Weds_Adams @foxnewspolitics @ChrisStirewalt its a matter of made up stories, we will likely put jim in the seat, a\xe2\x8negative\xa6 https://t.co/bWjUYyUWbs'"
positive,@ShepNewsTeam We the ppl think @foxnewspolitics is a joke . We support our President. #fakenews'
negative,foxnewspolitics @ChrisStirewalt It\xe2\x8negative\x99s a matter of character \n\nOH Representative Jim Jordan - being investigated for\xe2\x8negative\xa6 https://t.co/8NReworHnegative6'
negative,@foxnewspolitics Shepard Smith is the head of FAKE NEWS.he takes the TRUTH and puts it in his fake words'
positive,@foxnewspolitics @brookefoxnews Who is going to trust him?'
positive,foxnewspolitics @HowardKurtz This guy questioned the Presidents ability to lead and has lost credibility because of it!'
negative,"""via @FoxNewsPolitics Pence says religious freedom summit is 'just the beginning' https://t.co/es64qMSpositivefF https://t.co/fEvxnegativeNZpositiveDV"""
positive,@foxnewspolitics @brookefoxnews He is digging a hole he will never work again. Who would trust him'
positive,@GOP @realDonaldTrump @SecNielsen @PressSec @FoxNews @foxnewspolitics \nmy guess is these children are afraid they w\xe2\x8negative\xa6 https://t.co/PZLGlUJXWZ'
negative,@foxnewspolitics @ShepNewsTeam Attn. JAY WALLACE. THAT statement Shep for the greater good is malarkey. What that C\xe2\x8negative\xa6 https://t.co/kxyNvYvRke'
negative,@foxnewspolitics @brookefoxnews Wonder what his current &amp; other former clients are thinking? When he meets with Lan\xe2\x8negative\xa6 https://t.co/PEOnegativenegativepvQML'
positive,"""@foxnewspolitics @brookefoxnews Everybody knows his lawyer says are over. He's got stuff on Drumpf worth millions."""
positive,"@foxnewspolitics Trump supporters, has Trump fulfilled all his campaign promises?  Are you tired of winning? Will y\xe2\x8negative\xa6 https://t.co/6YfVL7RAWK'"
negative,"""via @FoxNewsPolitics Pence says summit is 'just the beginning' of religious freedom https://t.co/aY4bALKzSQ https://t.co/hmX8oXcoOL"""
negative,@foxnewspolitics @brookefoxnews My guess is he has bigger problems. Plus imagine the book deals. He\xe2\x8negative\x99ll get for bein\xe2\x8negative\xa6 https://t.co/dYQm6kuxpositiveA'
negative,"@foxnewspolitics Those idiots never quit, do they?  Each person or group that wants this information so badly shoul\xe2\x8negative\xa6 https://t.co/eDIsalQSCs'"
positive,@CNNPolitics @foxnewspolitics should trade its spot as pool reporter today with @CNNPolitics in solidarity.'
positive,@seeaston @foxnewspolitics @brookefoxnews In NY only one party has to agree with recording. That was Cohen. DJT had\xe2\x8negative\xa6 https://t.co/osqZG5N9ei'
positive,"""@foxnewspolitics @brookefoxnews maybe its worth it when you're being thrown under the bus anyway"""
negative,"@GoldfarbGary @foxnewspolitics @brookefoxnews @realDonaldTrump There are exceptions to ACP, including using your at\xe2\x8negative\xa6 https://t.co/uDdGvGnegativefCp'"
positive,"@foxnewspolitics @brookefoxnews ""The president and his legal team were put on defense by the release of the tape...\xe2\x8negative\xa6 https://t.co/7HhxZpgFTd'"
negative,@foxnewspolitics @brookefoxnews Hope so... this is a violation of the attorney -client protection  and the said tap\xe2\x8negative\xa6 https://t.co/YU8ynegativepositiverURpositive'
positive,"@foxnewspolitics @JuddBerger This was so funny, and accurate of her utter and complete ignorance'"
positive,"""@foxnewspolitics @brookefoxnews Imagine you can't even trust your lawyer even though he  really doesn't have anything on you"""
negative,@bjscodywodypositive @mitchellvii @Antagonizerpositivepositive @foxnewspolitics Fox here in Indy is starting suck!'
positive,"@foxnewspolitics @brookefoxnews Not only that, he could be in serious legal jeopardy here. It is a crime to record\xe2\x8negative\xa6 https://t.co/tMs2Wjqpositiveoc'"
positive,"@foxnewspolitics @brookefoxnews It is not a leaked tape, because Trump says the conversation never took place.   Wh\xe2\x8negative\xa6 https://t.co/HuIvpKyRpositiveV'"
positive,@foxnewspolitics @brookefoxnews Small price to pay for staying out of federal prison for the rest of his life.  He\xe2\x8negative\xa6 https://t.co/FLYd5uMBl7'
positive,@foxnewspolitics @brookefoxnews How dare he release a tape of himself conspiring with a criminal to hide evidence o\xe2\x8negative\xa6 https://t.co/UPITC3iggA'
negative,"@foxnewspolitics @brookefoxnews I guess that would qualify him to be a Democratic presidential candidate, eh?'"
positive,@foxnewspolitics @brookefoxnews Absolutely.... it\xe2\x8negative\x99s a legal issue to tape clients without their knowledge or consent.'
negative,"@foxnewspolitics @brookefoxnews he doesnt care, dems will totally line his pockets. the trick will be accessing tha\xe2\x8negative\xa6 https://t.co/oBNznC6pYnegative'"
positive,"Retweeted Fox News Politics (@foxnewspolitics):\n\nMichael Cohen could face trouble with state bar, future clients, c\xe2\x8negative\xa6 https://t.co/oH4KVblFwW'"
negative,@kmheffbill @WaveHombre @foxnewspolitics @realDonaldTrump He is still able to withdrawal money as he never stepped\xe2\x8negative\xa6 https://t.co/9eOQ4XvB9U'
positive,"via @FoxNewsPolitics Michael Cohen could face trouble with state bar, future clients, court over tape leak\xe2\x8negative\xa6 https://t.co/AHQXTWYdUa'"
negative,@jerrysaltz @foxnewspolitics @NBCNews its actually really impressive youve looked at art your whole life and you st\xe2\x8negative\xa6 https://t.co/BpDhsxolT4'
negative,@jerrysaltz @foxnewspolitics @NBCNews Serious question: As an entrenched elitist in the art world have you ever enc\xe2\x8negative\xa6 https://t.co/NTcKtgQbgX'
negative,@mitchellvii @Antagonizerpositivepositive Fox has started leaning for a while now. Do not watch in afternoon other than Harris Fa\xe2\x8negative\xa6 https://t.co/OVAousYGnegativeG'
negative,@GOP @foxnewspolitics @FoxNews Really? Now attacking the first amendment?Censorship of the media is OK with you?\ndo\xe2\x8negative\xa6 https://t.co/c5bKGcfhCN'
positive,@foxnewspolitics big issue with the head of eu and that flake collins tries to takedown the president...fuk her'
negative,@foxnewspolitics that reporter was totally rude and go back to manners class'
negative,"@foxnewspolitics When the White House is hosting a dignitary, the press should limit questions to the topic of the\xe2\x8negative\xa6 https://t.co/nUnI86suuT'"
negative,@foxnewspolitics @JuddBerger Correction: Conservatives fake video called out for the vile attempt at smearing candi\xe2\x8negative\xa6 https://t.co/Cpositive4YFnegativerrnC'
negative,"""@foxnewspolitics @ChadPergram @JuddBerger I'm so glad this POS is leaving this November, too bad he could just go now."""
positive,@foxnewspolitics @ChadPergram @JuddBerger Of course he\xe2\x8negative\x99s against. RINOs support the witch hunt and its objective of\xe2\x8negative\xa6 https://t.co/A34CGRJXO'
positive,@foxnewspolitics @AlexPappas @ChadPergram Elect Republicans to Congress and possibly get a Hastert as Speaker is a bold strategy @NRCC'
positive,@foxnewspolitics @AlexPappas @ChadPergram GOP needs to keep the house first.'
negative,@foxnewspolitics @ChadPergram @JuddBerger Deep state protects its own'
positive,"@foxnewspolitics @JuddBerger Because, you know. Shadow banning is such a national security thread. Up there with el\xe2\x8negative\xa6 https://t.co/HHYWRlA8Ko'"
positive,"@mog7546 Oh dear god, that\xe2\x8negative\x99s twice that I agree with @foxnewspolitics and now once with Dershowitz. https://t.co/YsiMshCle5'"
negative,@LindyLo8673negativepositive5negative @foxnewspolitics @JuddBerger I am running across an increasingly large amount of profiles that are\xe2\x8negative\xa6 https://t.co/zjyofIHYNM'
positive,"""via @FoxNewsPolitics Betsy DeVos' family boat untied from dock, causing up to $positivenegativeK in damages, police say\xe2\x8negative\xa6 https://t.co/ov7PxUxmm"""
negative,"""@foxnewspolitics @AlexPappas @ChadPergram He'll never get the votes. It won't matter though since the Right won't hold control of the house"""
negative,@foxnewspolitics @AlexPappas @ChadPergram Won\xe2\x8negative\x99t he be in the middle of wrestling team lawsuits?'
positive,"@foxnewspolitics @AlexPappas @ChadPergram Ah there you go Repubs, another perfect representative of your traditional, family values'"
positive,@foxnewspolitics @AlexPappas @ChadPergram Do it Jim! Americans are watching and waiting \xfnegative\x9f\x87\xba\xfnegative\x9f\x87\xb8\xfnegative\x9f\x87\xba\xfnegative\x9f\x87\xb8\xfnegative\x9f\x87\xba\xfnegative\x9f\x87\xb8\xfnegative\x9f\x87\xba\xfnegative\x9f\x87\xb8'
positive,@foxnewspolitics The latest messsge from Atty General Jeff Sessions was sickening he has confidence in Rosenstein?\xe2\x8negative\xa6 https://t.co/KrvAv285A'
positive,@ShepNewsTeam @ShepNewsTeam is Anti Trump \nYou\xe2\x8negative\x99re losing us @FoxNews @foxnewspolitics\n\n@seanhannity I thought you s\xe2\x8negative\xa6 https://t.co/PgyE7QUcXZ'
negative,@foxnewspolitics @HowardKurtz You mean like Bill Clinton\xe2\x8negative\x99s escapades?  The standard has been set. This is nothing!'
positive,When does the white man become a terrorist? When does the white man not become mentally ill in his wrong doings? Wh\xe2\x8negative\xa6 https://t.co/7CHZKbDLqy'
negative,"@MozquedaTanny @foxnewspolitics @JuddBerger Yeah weird how a comedian doing something is different than a """"news"""" organization doing it.'"""
positive,"""@foxnewspolitics @JuddBerger The issue wasn't that it was satire. The issue is it was initially presented in a way\xe2\x8negative\xa6 https://t.co/hpAXpositiveLmjYI"""
negative,@derek_colwill @foxnewspolitics @JuddBerger Every political story on msn has been faked or exaggerated what\xe2\x8negative\x99s different.'
positive,@foxnewspolitics @HowardKurtz Don\xe2\x8negative\x99t care about his private life. MAGA!'
negative,"""@foxnewspolitics Why are you CENSORING the DT/Putin meeting transcripts?\n\nHere is the part you cut out. I can't ima\xe2\x8negative\xa6 https://t.co/LoQdMapzuY"""
negative,"@foxnewspolitics @JuddBerger funny, old dinosaurs talking about meteors.\nIf Ocasio-Cortez is a meteor then those ol\xe2\x8negative\xa6 https://t.co/6buGHKHHoF'"
positive,"""I know, I don't usually RT anything from @foxnewspolitics but credit needs to be given when credit is due.\xe2\x8negative\xa6 https://t.co/srqHXMEEbW"""
negative,@foxnewspolitics @JuddBerger Awww somebody is melting. Maybe they should have held up her severed head or called he\xe2\x8negative\xa6 https://t.co/WgRm8pTATj'
positive,@foxnewspolitics I whole heartedly agree with Atty Alan Dershowits ...  IMPEACHMANT MUST BE USED ONLY FOR THE MOST\xe2\x8negative\xa6 https://t.co/OB7JmaGKQz'
negative,@foxnewspolitics @JuddBerger If you are a conservative you are bullied no matter what you do by crazy liberals.'
negative,"""via @FoxNewsPolitics Conservative's satirical Ocasio-Cortez 'interview' triggers media uproar\xe2\x8negative\xa6 https://t.co/AaTXeE7AzO"""
negative,@foxnewspolitics @JuddBerger What we should investigate is why they allow @realDonaldTrump to vent hatred on Social Media.'
positive,SchuetteOnDuty And you expect us to believe you? Transparency to you is a window painted black with black-out curt\xe2\x8negative\xa6 https://t.co/Q4JSefqHFV'
negative,"@foxnewspolitics @JuddBerger It\xe2\x8negative\x99s not illegal, political affiliation is not a protected class.'"
negative,If only our media were as passionate when interviewing Trump sycophants. If only! @msnbc @ABCPolitics @CNN https://t.co/negativev5qZnegativeHxDh'
negative,"@ABCPolitics @ajdukakis Wow, I talk to my Russian neighbors across the street, I guess I need to be investigated to\xe2\x8negative\xa6 https://t.co/TVyFNjylSa'"
negative,"@ABCPolitics No, the democrats would give him the Noble Peace Prize.  (like they did for the middle east, (glad to\xe2\x8negative\xa6 https://t.co/YdCt43positive3Am'"
negative,"""@ABCPolitics It's like believing Putin, so out of character for him to do anything other than the wrong  thing!"""
positive,"@JaneyrJanet @ABCPolitics @ThisWeekABC The people are entitled to know about kavanaughs service, we paid for it, every single minute of it'"
positive,@BigtrainRR @RecruiterDon @GeraldoRivera @ABCPolitics In confines of twitter space is challenging. Here goes: capit\xe2\x8negative\xa6 https://t.co/HPuyGr9fVi'
positive,"""Anyone going to ask republicans on Jim Jordan's desire to be Speaker and will the OSU scandal be a hindrance?\xe2\x8negative\xa6 https://t.co/lnduxn3tAt"""
positive,@ABCPolitics So the kids of this nation suffer lifelong due to sub par educations in our decaying school system but\xe2\x8negative\xa6 https://t.co/IymY5UHPTg'
negative,"@stangiesea @mccunecicki @Resa_Two @ABCPolitics @SenateDems @realDonaldTrump Ahhhh, another sweet talking example o\xe2\x8negative\xa6 https://t.co/kOUQU4ODct'"
negative,@ABCPolitics @donnabrazile Did you ask about providing questions to Hillary for the debate'
positive,ABCPolitics We would we trust him when not even the small group of wrestlers he was coaching could trust him? \n\nMo\xe2\x8negative\xa6 https://t.co/PPkuVdKs3y'
negative,"""@Real_Eudaimonia @ABCPolitics That's a low blow &amp; shows how that person is waver immature sad how a immature people have become"""
negative,@ABCPolitics This creep Mueller needs to be shown the door..all this junk and not one thing connected to trump..wha\xe2\x8negative\xa6 https://t.co/8gZmACOThU'
positive,@ABCPolitics Why are we seeing minutes of G Downer on our screens? Ridiculous. She lost. Entitlement politics lost.\xe2\x8negative\xa6 https://t.co/yo6Fvmh8OA'
positive,And Trent Z claims the mega-wealthy #LNP lacks \xe2\x8negative\x9cfunds\xe2\x8negative\x9d. It\xe2\x8negative\x99s not funds they lack: it\xe2\x8negative\x99s policies that benefit our na\xe2\x8negative\xa6 https://t.co/lvaYmaTaRS'
positive,@ABCPolitics Who\xe2\x8negative\x99s leading the charge to SUPPORT the continuing leadership of @billshortenmp - despite the ceaseles\xe2\x8negative\xa6 https://t.co/PAllBnU4jS'
negative,@ABCPolitics Can you please stop talking about G Downer. The Party of Entitlement has lost. Who will be the first t\xe2\x8negative\xa6 https://t.co/vnFXwpositivePL3L'
negative,@m_guchy @RecruiterDon @GeraldoRivera @ABCPolitics How am I stretching? You say taking taxpayers money and giving i\xe2\x8negative\xa6 https://t.co/lvnuWAgHJk'
negative,#NoGerrymandering Voting rights act of positive965 for equal rights. #VoteBlue in the coming months @MSNBC @CNN\xe2\x8negative\xa6 https://t.co/3PEbSNcKc3'
positive,"@ABCPolitics @BetsyDeVosED is the worst to admin our education system. She has a 4negative million dollar boat, one of man\xe2\x8negative\xa6 https://t.co/NyBrQKrdz5'"
